100,get_robust_list,0x64,int pid,struct robust_list_head * *head_ptr,size_t *len_ptr,-,-,-,man/ cs/
101,nanosleep,0x65,struct __kernel_timespec *rqtp,struct __kernel_timespec *rmtp,-,-,-,-,man/ cs/
102,getitimer,0x66,int which,struct itimerval *value,-,-,-,-,man/ cs/
103,setitimer,0x67,int which,struct itimerval *value,struct itimerval *ovalue,-,-,-,man/ cs/
104,kexec_load,0x68,unsigned long entry,unsigned long nr_segments,struct kexec_segment *segments,unsigned long flags,-,-,man/ cs/
105,init_module,0x69,void *umod,unsigned long len,const char *uargs,-,-,-,man/ cs/
106,delete_module,0x6a,const char *name_user,unsigned int flags,-,-,-,-,man/ cs/
107,timer_create,0x6b,clockid_t which_clock,struct sigevent *timer_event_spec,timer_t * created_timer_id,-,-,-,man/ cs/
108,timer_gettime,0x6c,timer_t timer_id,struct __kernel_itimerspec *setting,-,-,-,-,man/ cs/
109,timer_getoverrun,0x6d,timer_t timer_id,-,-,-,-,-,man/ cs/
110,timer_settime,0x6e,timer_t timer_id,int flags,const struct __kernel_itimerspec *new_setting,struct itimerspec *old_setting,-,-,man/ cs/
111,timer_delete,0x6f,timer_t timer_id,-,-,-,-,-,man/ cs/
112,clock_settime,0x70,clockid_t which_clock,const struct __kernel_timespec *tp,-,-,-,-,man/ cs/
113,clock_gettime,0x71,clockid_t which_clock,struct __kernel_timespec *tp,-,-,-,-,man/ cs/
114,clock_getres,0x72,clockid_t which_clock,struct __kernel_timespec *tp,-,-,-,-,man/ cs/
115,clock_nanosleep,0x73,clockid_t which_clock,int flags,const struct __kernel_timespec *rqtp,struct __kernel_timespec *rmtp,-,-,man/ cs/
116,syslog,0x74,int type,char *buf,int len,-,-,-,man/ cs/
117,ptrace,0x75,long request,long pid,unsigned long addr,unsigned long data,-,-,man/ cs/
118,sched_setparam,0x76,pid_t pid,struct sched_param *param,-,-,-,-,man/ cs/
119,sched_setscheduler,0x77,pid_t pid,int policy,struct sched_param *param,-,-,-,man/ cs/
120,sched_getscheduler,0x78,pid_t pid,-,-,-,-,-,man/ cs/
121,sched_getparam,0x79,pid_t pid,struct sched_param *param,-,-,-,-,man/ cs/
122,sched_setaffinity,0x7a,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,-,-,-,man/ cs/
123,sched_getaffinity,0x7b,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,-,-,-,man/ cs/
124,sched_yield,0x7c,-,-,-,-,-,-,man/ cs/
125,sched_get_priority_max,0x7d,int policy,-,-,-,-,-,man/ cs/
126,sched_get_priority_min,0x7e,int policy,-,-,-,-,-,man/ cs/
127,sched_rr_get_interval,0x7f,pid_t pid,struct timespec *interval,-,-,-,-,man/ cs/
128,restart_syscall,0x80,-,-,-,-,-,-,man/ cs/
129,kill,0x81,pid_t pid,int sig,-,-,-,-,man/ cs/
130,tkill,0x82,pid_t pid,int sig,-,-,-,-,man/ cs/
131,tgkill,0x83,pid_t tgid,pid_t pid,int sig,-,-,-,man/ cs/
132,sigaltstack,0x84,const struct sigaltstack *uss,struct sigaltstack *uoss,-,-,-,-,man/ cs/
133,rt_sigsuspend,0x85,sigset_t *unewset,size_t sigsetsize,-,-,-,-,man/ cs/
134,rt_sigaction,0x86,int,const struct sigaction *,struct sigaction *,size_t,-,-,man/ cs/
135,rt_sigprocmask,0x87,int how,sigset_t *set,sigset_t *oset,size_t sigsetsize,-,-,man/ cs/
136,rt_sigpending,0x88,sigset_t *set,size_t sigsetsize,-,-,-,-,man/ cs/
137,rt_sigtimedwait,0x89,const sigset_t *uthese,siginfo_t *uinfo,const struct timespec *uts,size_t sigsetsize,-,-,man/ cs/
138,rt_sigqueueinfo,0x8a,pid_t pid,int sig,siginfo_t *uinfo,-,-,-,man/ cs/
139,rt_sigreturn,0x8b,?,?,?,?,?,?,man/ cs/
140,setpriority,0x8c,int which,int who,int niceval,-,-,-,man/ cs/
141,getpriority,0x8d,int which,int who,-,-,-,-,man/ cs/
142,reboot,0x8e,int magic1,int magic2,unsigned int cmd,void *arg,-,-,man/ cs/
143,setregid,0x8f,gid_t rgid,gid_t egid,-,-,-,-,man/ cs/
144,setgid,0x90,gid_t gid,-,-,-,-,-,man/ cs/
145,setreuid,0x91,uid_t ruid,uid_t euid,-,-,-,-,man/ cs/
146,setuid,0x92,uid_t uid,-,-,-,-,-,man/ cs/
147,setresuid,0x93,uid_t ruid,uid_t euid,uid_t suid,-,-,-,man/ cs/
148,getresuid,0x94,uid_t *ruid,uid_t *euid,uid_t *suid,-,-,-,man/ cs/
149,setresgid,0x95,gid_t rgid,gid_t egid,gid_t sgid,-,-,-,man/ cs/
150,getresgid,0x96,gid_t *rgid,gid_t *egid,gid_t *sgid,-,-,-,man/ cs/
151,setfsuid,0x97,uid_t uid,-,-,-,-,-,man/ cs/
152,setfsgid,0x98,gid_t gid,-,-,-,-,-,man/ cs/
153,times,0x99,struct tms *tbuf,-,-,-,-,-,man/ cs/
154,setpgid,0x9a,pid_t pid,pid_t pgid,-,-,-,-,man/ cs/
155,getpgid,0x9b,pid_t pid,-,-,-,-,-,man/ cs/
156,getsid,0x9c,pid_t pid,-,-,-,-,-,man/ cs/
157,setsid,0x9d,-,-,-,-,-,-,man/ cs/
158,getgroups,0x9e,int gidsetsize,gid_t *grouplist,-,-,-,-,man/ cs/
159,setgroups,0x9f,int gidsetsize,gid_t *grouplist,-,-,-,-,man/ cs/
